"Srno","SQL Type","No. of Instances","Cloud SQL ","Database Version","Instance Type","vCPUs","RAM","HA/Non-HA","Datacenter Location","Storage Amt","Disk Type","Backup","Avg no. of hrs","Hrs/Min","Days/Month","","","","SUD Price","SUD URL","One Year Price","One Year URL","three Year Price","three Year URL","","","","","","","","","","","","","","","","","",""
"1","PostgreSQL","4.24","","","custom ","8","52","Non-HA","asia-south1","10","HDD","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","PostgreSQL","1","","","custom ","16","104","Non-HA","asia-south1","10","HDD","5","623","hours","month","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","MySQL","2.04","","","custom ","32","208","Non-HA","asia-south1","10","HDD","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","MySQL","1.02","","","g1-small","","","Non-HA","asia-south1","10","HDD","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","PostgreSQL","1.36","","","custom ","2","13","Non-HA","asia-south1","10","HDD","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","MySQL","1","","","custom ","4","26","Non-HA","asia-south1","10","HDD","5","492","hours","month","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","PostgreSQL","4.08","","","custom ","2","13","Non-HA","asia-south1","10","HDD","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","PostgreSQL","5.1","","","custom ","4","26","Non-HA","asia-south1","10","HDD","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
